snapped_at,price,market_cap,total_volume
2017-12-20 00:00:00 UTC,123547.574823895,0.0,62295652.3680034
2017-12-21 00:00:00 UTC,171607.853902166,0.0,183620.403675317
2017-12-22 00:00:00 UTC,98983.0044034122,0.0,3883697.16077228
2017-12-23 00:00:00 UTC,118135.961648414,0.0,22627784.8511059
2017-12-24 00:00:00 UTC,140615.561252675,0.0,8092594.54319892
2017-12-25 00:00:00 UTC,179146.236723707,0.0,9854788.37926516
2017-12-26 00:00:00 UTC,138722.40212641,0.0,31688909.7163495
2017-12-27 00:00:00 UTC,130090.295032334,0.0,19018009.7026225
2017-12-28 00:00:00 UTC,121205.065054366,0.0,5602053.94015438
2017-12-29 00:00:00 UTC,121562.812842927,0.0,2941154.64507309
2017-12-30 00:00:00 UTC,114627.354752036,0.0,1165200.1333548
2017-12-31 00:00:00 UTC,113744.665394347,0.0,19548019.0341812
2018-01-01 00:00:00 UTC,122936.424143442,0.0,2100362.58500405
2018-01-02 00:00:00 UTC,125458.760172462,0.0,3722303.00771127
2018-01-03 00:00:00 UTC,129841.26678462833,0.0,2012652.4829474685
2018-01-04 00:00:00 UTC,115172.45745815086,0.0,5216517.736132708
2018-01-05 00:00:00 UTC,127194.77111640172,0.0,4487646.310096541
2018-01-06 00:00:00 UTC,154685.5107177966,0.0,1675956.33506628
2018-01-07 00:00:00 UTC,165976.64491022518,0.0,6489062.631580349
2018-01-08 00:00:00 UTC,155677.70595878235,0.0,10565249.849593014
2018-01-09 00:00:00 UTC,169174.3470430291,0.0,13449982.054116754
2018-01-10 00:00:00 UTC,126548.32253121871,0.0,12448053.442802338
2018-01-11 00:00:00 UTC,144853.4503238676,0.0,4430295.760156971
2018-01-12 00:00:00 UTC,156426.99267785062,0.0,3514981.718484024
2018-01-13 00:00:00 UTC,182213.0591242608,0.0,10316539.373568423
2018-01-14 00:00:00 UTC,162754.94360160874,0.0,6428298.863548539
2018-01-15 00:00:00 UTC,134781.99292921432,0.0,4703868.282747094
2018-01-16 00:00:00 UTC,124252.16819840162,0.0,13646264.490428412
2018-01-17 00:00:00 UTC,123376.00462957755,76274500590.13448,4372361.010016456
2018-01-18 00:00:00 UTC,173188.10354622736,107069734879.17705,32270983.06399709
2018-01-19 00:00:00 UTC,172891.5612553917,106886404131.7983,11932819.727133583
2018-01-20 00:00:00 UTC,199291.97440039742,123207878749.6089,9737809.206352346
2018-01-21 00:00:00 UTC,180098.66679136516,111342038573.0921,10544245.00114825
2018-01-22 00:00:00 UTC,173243.77468782288,107104152337.70335,9716944.970946336
2018-01-23 00:00:00 UTC,171547.16860106113,106055262949.89682,21792785.52166301
2018-01-24 00:00:00 UTC,173735.16501403347,107407943596.29588,3339790.250092762
2018-01-25 00:00:00 UTC,163003.49935143924,100773327397.04158,3855139.4090317283
2018-01-26 00:00:00 UTC,160759.6773463293,99386133806.46646,1750531.2790622627
2018-01-27 00:00:00 UTC,152522.41982845034,94293630565.7032,1844571.9630758776
2018-01-28 00:00:00 UTC,162344.95283009406,100366195498.2434,13621257.598677743
2018-01-29 00:00:00 UTC,156139.1639169817,96529603030.06775,1985558.2387271833
2018-01-30 00:05:10 UTC,155788.3048273492,96312692116.80244,1981723.8918133432
2018-01-31 00:00:00 UTC,143918.44685426616,88974413561.81926,4137612.219509122
2018-02-01 00:00:00 UTC,147855.47015340492,91408391601.99922,1567405.7524532294
2018-02-02 00:00:00 UTC,137031.3679524801,84716628546.52586,2939918.9603175055
2018-02-03 00:00:00 UTC,127227.36162147867,78655517320.52351,23190306.265052743
2018-02-04 00:00:00 UTC,128584.88582453693,79494776793.53181,1102696.4610402852
2018-02-05 00:00:00 UTC,118393.36172326074,73194091231.44804,1889178.109115107
2018-02-06 00:00:00 UTC,83391.10177553387,51554714068.48475,1743159.9873006807
2018-02-07 00:00:00 UTC,98176.52497827979,60695476684.27196,3944759.2303554392
2018-02-08 00:05:09 UTC,101076.9018320983,62488570865.85447,3001301.5005903584
2018-02-09 00:00:00 UTC,108342.91367445716,66980622835.1323,997290.5591784056
2018-02-10 00:00:00 UTC,118765.92409887971,73424419723.8022,2867093.7535194065
2018-02-11 00:00:00 UTC,114901.2152206075,71035148483.40573,584394.0341122877
2018-02-12 00:00:00 UTC,109455.06235578103,67668184290.0898,671922.1445602924
2018-02-13 00:00:00 UTC,114306.15436962187,70667265203.62259,1050095.394245722
2018-02-14 00:00:00 UTC,111005.6672381991,68626811645.33735,149836.5364192988
2018-02-15 00:00:00 UTC,117292.79568971369,72513690493.66031,878322.6173548347
2018-02-16 00:00:00 UTC,123580.8746062095,76401156946.04768,773057.1737405339
2018-02-17 00:00:00 UTC,123149.80480903317,76134657527.47896,2368592.1317877932
2018-02-18 00:00:00 UTC,121380.97288648796,75041116105.66768,1132345.9402584045
2018-02-19 00:00:00 UTC,115082.31338895204,71147108441.82504,5073043.286352951
2018-02-20 00:00:00 UTC,120434.6959954922,74456101235.90115,2368247.129029022
2018-02-21 00:00:00 UTC,116062.45183309828,71753057471.87268,2350077.9477290674
2018-02-22 00:00:00 UTC,102899.68483773571,63615466357.86367,2040010.1970246385
2018-02-23 00:00:00 UTC,102926.6538889454,63632139380.45493,2040253.104673046
2018-02-24 00:00:00 UTC,106351.32605808362,65749367606.23692,172843.06344112707
2018-02-25 00:00:00 UTC,104866.78607390694,64831583420.899345,3956465.758075144
2018-02-26 00:00:00 UTC,109239.48665757541,67534909357.33954,1029889.100171912
2018-02-27 00:00:00 UTC,109548.65207416806,67726044074.508766,282956.45046384603
2018-02-28 00:00:00 UTC,111971.46170915179,69223892829.5255,36336.31084085854
2018-03-01 00:00:00 UTC,113016.29738319122,69869839498.61554,980825.7966766021
2018-03-02 00:00:00 UTC,109810.54844766167,67887955745.70097,49924842.86475711
2018-03-03 00:00:00 UTC,107883.13047197816,66696371985.430115,46265099.021559626
2018-03-04 00:00:00 UTC,107545.50821710333,66487644454.04336,38544802.813790455
2018-03-05 00:00:00 UTC,101438.88712211716,62712360307.73225,30868635.777413454
2018-03-06 00:00:00 UTC,102334.55069577385,63266084607.546875,45435650.36365383
2018-03-07 00:00:00 UTC,101304.39420796683,62629213022.40292,24330314.453058023
2018-03-08 00:00:00 UTC,90847.89360139884,56164711565.4056,37846555.08448917
2018-03-09 00:00:00 UTC,89556.67196511549,55366442195.649414,24479200.469409935
2018-03-10 00:00:00 UTC,88133.33692483776,54486496620.3686,29338147.76436406
2018-03-11 00:00:00 UTC,85222.26686025722,52686791596.48311,141598804.79038587
2018-03-12 00:00:00 UTC,89115.31827906444,55093584989.02945,83061450.47838728
2018-03-13 00:00:00 UTC,86608.00961554414,53543496568.598625,87730844.43269521
2018-03-14 00:00:00 UTC,86402.53009161542,53416463373.47922,54918837.5773275
2018-03-15 00:00:00 UTC,79521.77065909737,49162585231.03245,55522174.46298058
2018-03-16 00:00:00 UTC,78384.92122433108,48459753078.67575,55787382.5092972
2018-03-17 00:00:00 UTC,77127.77171339148,47682548050.82659,60450955.395053305
2018-03-18 00:00:00 UTC,71320.99500019698,44092636096.98179,11256763.646296183
2018-03-19 00:00:00 UTC,71436.13002598989,44163815793.70767,40603468.70035785
2018-03-20 00:00:00 UTC,74246.21598173531,45901089613.95625,46405324.5671128
2018-03-21 00:00:00 UTC,75408.2357199184,46619482752.65371,43935671.219016165
2018-03-22 00:00:00 UTC,76837.47101414803,47503076030.134705,3905563.070825422
2018-03-23 00:00:00 UTC,72160.06719152056,44611374019.67937,10334929.570278302
2018-03-24 00:00:00 UTC,75341.74999497242,46578379415.89181,4609783.319877386
2018-03-25 00:00:00 UTC,71836.08149738444,44411076991.96499,8522651.595702829
2018-03-26 00:00:00 UTC,71548.53001267908,44233304612.678566,5141957.618869987
2018-03-27 00:00:00 UTC,67736.90207434082,41876849495.61558,17145826.00917348
2018-03-28 00:00:00 UTC,62171.382854271185,38436089679.23036,9491857.273552425
2018-03-29 00:00:00 UTC,62502.7241573841,38640934150.37126,9488641.908723561
2018-03-30 00:00:00 UTC,52822.06965773831,32656082480.364243,179160786.07557592
2018-03-31 00:00:00 UTC,54606.34421677396,33759170972.44773,10085595.204611054
2018-04-01 00:00:00 UTC,55487.58602563571,34303979333.456715,3749099.384418763
2018-04-02 00:00:00 UTC,52340.96093262758,32358647595.456486,2235164.832762772
2018-04-03 00:00:00 UTC,52843.87207994643,32669561348.24112,4581816.50703207
2018-04-04 00:00:00 UTC,56971.5847738564,35221428911.57169,2363288.7105582845
2018-04-05 00:00:00 UTC,53540.699772918175,33100359739.211655,3778348.450843335
2018-04-06 00:00:00 UTC,54247.17777975726,33537124224.42377,2621769.408862941
2018-04-07 00:00:00 UTC,52227.02934538923,32288211898.141293,5209296.8708824925
2018-04-08 00:00:00 UTC,53439.31547002828,33037681124.404648,3722859.588760848
2018-04-09 00:00:00 UTC,55837.304732714314,34520185230.2965,1679861.3503921428
2018-04-10 00:00:00 UTC,56787.50272866341,35107624236.93612,17355134.417550284
2018-04-11 00:00:00 UTC,59330.7353532802,36679921855.98771,7395126.568380072
2018-04-12 00:00:00 UTC,62639.18805741448,38725299954.35924,68236320.70663495
2018-04-13 00:00:00 UTC,70394.06077082947,43519579402.22836,11173138.449352073
2018-04-14 00:00:00 UTC,74535.43176452251,46079890908.91723,10013683.280351458
2018-04-15 00:00:00 UTC,74879.3143237762,46292488735.75951,6148871.924272133
2018-04-16 00:00:00 UTC,80974.34155437206,50060605230.476326,7737361.082862618
2018-04-17 00:00:00 UTC,80687.11176443024,49883031731.900185,8620550.527656766
2018-04-18 00:00:00 UTC,79556.58586987667,49184108969.16212,3674567.307222186
2018-04-19 00:00:00 UTC,82231.02380306771,50837521383.722946,5240168.169630039
2018-04-20 00:00:00 UTC,90580.61688900461,55999473618.05555,7996463.19651275
2018-04-21 00:00:00 UTC,95132.50554093107,58813578635.55874,6492497.014617027
2018-04-22 00:00:00 UTC,98010.0885801643,60592581042.737816,10271376.500854714
2018-04-23 00:00:00 UTC,100839.81432019168,62341996727.543465,11648202.47991852
2018-04-24 00:00:00 UTC,102975.65686103383,63662434389.883224,8901645.052186022
2018-04-25 00:00:00 UTC,112703.09882747632,69676211381.91304,57386853.11453394
2018-04-26 00:00:00 UTC,97971.04383119257,60568442485.67052,28884264.166302145
2018-04-27 00:00:00 UTC,110714.58235156506,68446854818.04336,15214654.272697434
2018-04-28 00:00:00 UTC,109643.6749797698,67784789895.39312,4038402.181487027
2018-04-29 00:00:00 UTC,115461.06714965231,71381264621.79526,6810823.361964521
2018-04-30 00:00:00 UTC,116652.26229398057,72117694813.48302,28900650.74215005
2018-05-01 00:00:00 UTC,113811.50301600051,70361457886.57596,7285695.493513529
2018-05-02 00:00:00 UTC,114144.04619140705,70567045388.8212,4117196.158057166
2018-05-03 00:00:00 UTC,115722.2183497177,71542715605.90927,7833048.024383512
2018-05-04 00:00:00 UTC,123254.43508107295,76199342891.30156,1359232.6409562526
2018-05-05 00:00:00 UTC,124594.0375096676,77027522621.52678,13610150.49611746
2018-05-06 00:00:00 UTC,123498.44912864368,76350199207.90312,21547554.078049727
2018-05-07 00:00:00 UTC,116507.07316059832,72027934825.93037,15099090.236713093
2018-05-08 00:00:00 UTC,110743.03799556951,68464446893.92495,19170881.122645374
2018-05-09 00:00:00 UTC,109856.15241818917,67916149397.19225,9334238.870854149
2018-05-10 00:00:00 UTC,112614.4295952793,69621393579.83034,8339895.769424714
2018-05-11 00:00:00 UTC,116457.74507437603,71997438821.84134,189613105.8954392
2018-05-12 00:00:00 UTC,104686.80077919221,64720311472.11844,43169396.23547598
2018-05-13 00:00:00 UTC,102951.80124785953,63647686181.8617,27629285.129857954
2018-05-14 00:00:00 UTC,106768.66733047878,66007379666.38724,11901756.53999286
2018-05-15 00:00:00 UTC,104520.06881968353,64617233106.2553,43894927.09583937
2018-05-16 00:00:00 UTC,100747.93070267714,62285191702.45469,29986931.582003858
2018-05-17 00:00:00 UTC,99480.29741627446,61501505311.06853,20202064.098476313
2018-05-18 00:00:00 UTC,95638.56166418163,59126436700.52368,4693791.846379263
2018-05-19 00:00:00 UTC,100471.72585261059,62114434130.40774,3607893.272764778
2018-05-20 00:00:00 UTC,98269.91860592982,60753215239.906784,18712686.220201574
2018-05-21 00:00:00 UTC,101418.31855684712,62699644244.76248,42358758.46153231
2018-05-22 00:00:00 UTC,100287.04404614173,62000258666.55811,10225220.558630371
2018-05-23 00:00:00 UTC,95402.81837451292,58980693598.038376,45193094.94867806
2018-05-24 00:00:00 UTC,83507.10516985753,51626430614.95068,119687647.44759038
2018-05-25 00:00:00 UTC,84767.73658570732,52405788253.90866,28233347.09352204
2018-05-26 00:00:00 UTC,85485.70418123751,52849655924.5581,24756952.507665858
2018-05-27 00:00:00 UTC,84912.65682138246,52495382001.36964,3875309.6860798
2018-05-28 00:00:00 UTC,84233.53991033226,52075532911.68489,29315239.66294874
2018-05-29 00:00:00 UTC,77403.88829239797,47853251051.23261,14227795.646578249
2018-05-30 00:00:00 UTC,81194.12907295153,50196484028.51268,14487207.597517671
2018-05-31 00:00:00 UTC,80288.5753719916,49636645375.07562,8984873.905519947
2018-06-01 00:00:00 UTC,82731.44272153729,51146894370.85055,7475028.558662739
2018-06-02 00:00:00 UTC,83794.90131634916,51804354251.003914,11558420.280621212
2018-06-03 00:00:00 UTC,85428.92606410885,52814554102.76188,22659066.504382502
2018-06-04 00:00:00 UTC,87392.1816307148,54028293665.19354,5087558.645749743
2018-06-05 00:00:00 UTC,85697.13418630324,52980367873.72988,3634046.478730907
2018-06-06 00:00:00 UTC,86767.9824246223,53642396238.4094,8628721.438648276
2018-06-07 00:00:00 UTC,88117.67860816358,54476816210.56776,10768766.348267239
2018-06-08 00:00:00 UTC,86679.2225923029,53587522424.79424,26585652.96909363
2018-06-09 00:00:00 UTC,85116.77435115042,52621573173.56303,2724343.6682293466
