snapped_at,price,market_cap,total_volume
2014-09-29 00:00:00 UTC,40816.17169999999,543984671161.79736,4120944862.1592345
2014-09-30 00:00:00 UTC,42426.2919,565610353094.04,3780843943.635363
2014-10-01 00:00:00 UTC,41576.59329999999,554442581122.4849,2840145520.949315
2014-10-02 00:00:00 UTC,40399.65879999998,538885998775.84973,2158532458.4021335
2014-10-03 00:00:00 UTC,39028.9342,520747457456.92,3186405435.2993298
2014-10-04 00:00:00 UTC,36029.294,480863170906.3,4941670223.539115
2014-10-05 00:00:00 UTC,35714.53,476811297081.25,8987096298.017868
2014-10-06 00:00:00 UTC,35823.02269999999,478403930100.5549,8281760224.194662
2014-10-07 00:00:00 UTC,35946.31589999999,480174482423.78986,4759776966.051558
2014-10-08 00:00:00 UTC,38303.59520000001,511801147983.84015,5503713891.2945
2014-10-09 00:00:00 UTC,38705.80790000001,517313766680.6726,8643756930.267853
2014-10-10 00:00:00 UTC,38473.72749999999,514362957692.9999,4524253480.51834
2014-10-11 00:00:00 UTC,38688.92710000001,517377349876.52515,3472386860.5297823
2014-10-12 00:00:00 UTC,40176.30950000001,537419408434.4876,3300613308.5597367
2014-10-13 00:00:00 UTC,41462.1078,554777514101.73,5938637047.060637
2014-10-14 00:00:00 UTC,42729.028,571873560269.3,7661737219.630373
2014-10-15 00:00:00 UTC,41639.72439999999,557447646432.5598,5229807128.887007
2014-10-16 00:00:00 UTC,40389.12090000001,540858795796.08014,5210236088.608568
2014-10-17 00:00:00 UTC,40583.4266,543599780522.025,4062012197.846152
2014-10-18 00:00:00 UTC,41558.626,556833640117.5,4677912992.50377
2014-10-19 00:00:00 UTC,41409.29940000001,554971571488.7401,3517633124.2172146
2014-10-20 00:00:00 UTC,40595.8902,544206176281.59,3440597331.9330297
2014-10-21 00:00:00 UTC,40935.94009999999,548924348379.9349,3553447247.7124786
2014-10-22 00:00:00 UTC,40637.49370000001,545084926120.89514,2386043227.1436467
2014-10-23 00:00:00 UTC,38464.61320000001,516079715304.40015,5221588464.155549
2014-10-24 00:00:00 UTC,38283.1554,513800142781.17,3527829909.0775986
2014-10-25 00:00:00 UTC,37527.87204848195,503802300282.85803,3795552104.161265
2014-10-26 00:00:00 UTC,37892.20910000001,508819425710.4826,2988440606.71694
2014-10-27 00:00:00 UTC,37580.56059999998,504786787549.2747,4350767759.992816
2014-10-28 00:00:00 UTC,37992.8265,510454520082.075,2865670505.634268
2014-10-29 00:00:00 UTC,36190.67869999999,486375578718.97485,4712062194.957897
2014-10-30 00:00:00 UTC,37512.249,504300608462.625,6533320512.990333
2014-10-31 00:00:00 UTC,37586.84543323153,505477294097.45593,3408651663.1047463
2014-11-01 00:00:00 UTC,36331.0055,488738310113.0625,4325272825.32076
2014-11-02 00:00:00 UTC,36505.9823,491231799025.26,3235137616.427701
2014-11-03 00:00:00 UTC,36787.9796,495180920607.84,4629486739.612643
2014-11-04 00:00:00 UTC,37205.78769999999,500960118920.72736,3978400173.935773
2014-11-05 00:00:00 UTC,38646.8746,520494174769.07,5086802943.059624
2014-11-06 00:00:00 UTC,40010.5164,539013674837.52,4961491931.477603
2014-11-07 00:00:00 UTC,39109.2775,527017068951.25,4614681073.086446
2014-11-08 00:00:00 UTC,39514.83660000001,532636288466.04016,3468704726.3744307
2014-11-09 00:00:00 UTC,41612.55429617249,561067271144.5807,5892929567.016825
2014-11-10 00:00:00 UTC,41751.52810000001,563096596755.4851,7147642713.878359
2014-11-11 00:00:00 UTC,42320.2402,570902156310.01,5279745985.841624
2014-11-12 00:00:00 UTC,48352.53580000001,652454612324.4601,27102157931.22702
2014-11-13 00:00:00 UTC,48097.2381,649180446945.225,39299278133.98933
2014-11-14 00:00:00 UTC,45905.0205,619765977021.525,30603730495.864822
2014-11-15 00:00:00 UTC,43895.23129999999,592788637994.7623,11537748385.328943
2014-11-16 00:00:00 UTC,45158.0414,610014015398.795,11152678558.47
2014-11-17 00:00:00 UTC,44875.9536,606366128840.88,17817944221.002766
2014-11-18 00:00:00 UTC,43781.3515,591742179671.275,12781712468.022966
2014-11-19 00:00:00 UTC,44366.4428,599806577629.25,9934231167.16611
2014-11-20 00:00:00 UTC,42001.6869045678,567977261546.5717,11076609065.099775
2014-11-21 00:00:00 UTC,41193.16318181446,557175635709.9838,11863707791.60218
2014-11-22 00:00:00 UTC,41416.8203,560363366135.955,8112107179.95282
2014-11-23 00:00:00 UTC,43223.4223,584958782769.2625,8374528046.573949
2014-11-24 00:00:00 UTC,44661.2285,604583516327.35,13815259791.17416
2014-11-25 00:00:00 UTC,44262.1524,599326141803.15,13632025596.64233
2014-11-26 00:00:00 UTC,43065.95820000001,583275648020.2051,10865475539.486023
2014-11-27 00:00:00 UTC,43414.192,588139656507.6,8362863788.83362
2014-11-28 00:00:00 UTC,44637.8785,604889007500.4625,10806166735.561502
2014-11-29 00:00:00 UTC,44475.0274,602860108282.685,11974098635.855783
2014-11-30 00:00:00 UTC,44724.00729999999,606408342579.9698,8901148521.674583
