snapped_at,price,market_cap,total_volume
2017-08-02 00:00:00 UTC,85003.49832585063,1401042535018.8772,25615100405.654297
2017-08-03 00:00:00 UTC,43858.08571698777,722894757341.794,16279279900.325445
2017-08-04 00:00:00 UTC,25972.314650179404,428097766531.7096,14312045675.544144
2017-08-05 00:00:00 UTC,22897.561342574314,377420503609.65247,12108959953.15512
2017-08-06 00:00:00 UTC,23931.66909698175,394485445352.55524,10268804802.955091
2017-08-07 00:00:00 UTC,35463.21989664664,584603661793.6017,35332817346.14335
2017-08-08 00:00:00 UTC,37564.04320548026,619246069545.5825,23303547549.606842
2017-08-09 00:00:00 UTC,33028.60057219731,544517369840.1811,12888031412.218487
2017-08-10 00:00:00 UTC,29640.936029516695,488704932786.6565,11296282240.179981
2017-08-11 00:00:00 UTC,35244.94611218394,581130584289.4747,15587517010.260357
2017-08-12 00:00:00 UTC,33882.9263057747,558703635992.3799,8436677764.048152
2017-08-13 00:00:00 UTC,32124.038932837935,529732629911.2574,8816915978.341593
2017-08-14 00:00:00 UTC,32130.005740029614,529867587850.912,10865729500.216175
2017-08-15 00:00:00 UTC,32819.09940386071,541275987386.34576,9844313005.61683
2017-08-16 00:00:00 UTC,32445.144741384353,535144150122.32684,13998609545.454607
2017-08-17 00:00:00 UTC,32400.79469917069,534413037629.04895,13952611830.9075
2017-08-18 00:00:00 UTC,77080.45874677047,1271476853234.415,439588497918.76874
2017-08-19 00:00:00 UTC,73081.72372323317,1205630146324.586,353946288385.63416
2017-08-20 00:00:00 UTC,76469.60792288251,1261953086928.7551,159190166358.65945
2017-08-21 00:00:00 UTC,64928.05981318269,1072114069319.4895,108704395392.60475
2017-08-22 00:00:00 UTC,75160.06602335293,1241878263991.321,133542233086.84558
2017-08-23 00:00:00 UTC,72313.68966664663,1194868019837.869,48366010457.77508
2017-08-24 00:00:00 UTC,67347.39953106051,1113274402153.2778,37730123108.295074
2017-08-25 00:00:00 UTC,69024.0108614443,1141588115637.4272,33360140533.133957
2017-08-26 00:00:00 UTC,66679.28729093666,1103367171535.8628,18119090784.05407
2017-08-27 00:00:00 UTC,66679.02913492435,1103411242027.6416,38392697981.63684
2017-08-28 00:00:00 UTC,63503.571559165684,1051000810743.5122,20441224839.63973
2017-08-29 00:00:00 UTC,59090.32757439062,978065347443.7614,34105174356.555138
2017-08-30 00:00:00 UTC,62919.98744762334,1041521662179.0907,43346573532.87216
2017-08-31 00:00:00 UTC,64443.281293778695,1066806193874.0958,29028876707.324886
2017-09-01 00:00:00 UTC,68194.99826354584,1129011704661.8936,38243994756.85123
2017-09-02 00:00:00 UTC,62957.13031953138,1042398519911.319,30101521910.911007
2017-09-03 00:00:00 UTC,66678.06849723835,1104119669157.2354,32274148916.76231
2017-09-04 00:00:00 UTC,57768.830407645706,956682911181.3722,29108859393.68181
2017-09-05 00:00:00 UTC,59833.670485510265,990962258897.4968,29449768776.429703
2017-09-06 00:00:00 UTC,69387.19521707695,1149307852770.755,63153883086.63246
2017-09-07 00:00:00 UTC,70592.7578795878,1169458192928.574,98624443476.97026
2017-09-08 00:00:00 UTC,65705.0600366052,1088642500348.9978,63795216172.18721
2017-09-09 00:00:00 UTC,62880.448777473895,1041968336523.2284,20954848326.80087
2017-09-10 00:00:00 UTC,59995.03266461733,994269958645.6119,30791853207.6979
2017-09-11 00:00:00 UTC,60945.85219947802,1010156961454.157,21502598737.67611
2017-09-12 00:00:00 UTC,59327.189674801004,983473527211.6095,16450158495.277836
2017-09-13 00:00:00 UTC,56762.17591024489,941076461922.6122,30453678008.350014
2017-09-14 00:00:00 UTC,40243.97468652317,667309490662.0526,24842387453.18614
2017-09-15 00:00:00 UTC,46507.07155702813,771258159903.4984,71876796498.73409
2017-09-16 00:00:00 UTC,48589.72006786944,805903654997.035,31540870560.191418
2017-09-17 00:00:00 UTC,47823.14533210262,793295738784.3408,19943123065.254436
2017-09-18 00:00:00 UTC,53222.50831245703,883093830504.3436,41820354048.605644
2017-09-19 00:00:00 UTC,59265.865169743425,983566697286.9044,81388798506.31271
2017-09-20 00:00:00 UTC,53476.1725879253,887649651882.6573,67454210191.55108
2017-09-21 00:00:00 UTC,46913.58083212007,778737903541.2446,31040743317.330746
2017-09-22 00:00:00 UTC,46587.124783819716,773554748794.8148,23318031144.621895
2017-09-23 00:00:00 UTC,47791.784440507465,793769589887.1421,14081620138.683777
2017-09-24 00:00:00 UTC,47352.429325086,786628642015.7749,10888359171.22587
2017-09-25 00:00:00 UTC,49293.8462981624,819053635102.5364,22238823309.002964
2017-09-26 00:00:00 UTC,49484.90492179546,822420562960.8949,16395637981.579447
2017-09-27 00:00:00 UTC,51303.28977571919,852817818049.0359,19102459885.23557
2017-09-28 00:00:00 UTC,50074.747122914145,832445099908.6809,30117898928.422436
2017-09-29 00:00:00 UTC,49010.155947976615,814754046388.4814,14244818623.033176
2017-09-30 00:00:00 UTC,48432.961696215854,805507959154.4443,14401957725.079947
2017-10-01 00:00:00 UTC,46741.778878934565,777945067325.729,16394495267.07152
2017-10-02 00:00:00 UTC,47052.32101801063,783381150477.0117,22424025032.25162
2017-10-03 00:00:00 UTC,45615.579965468,759468615908.5654,13086463435.718636
2017-10-04 00:00:00 UTC,40478.22388581721,674352030603.7576,25624196419.38568
2017-10-05 00:00:00 UTC,40012.122871042804,667163137054.8395,27784497537.949787
2017-10-06 00:00:00 UTC,40870.808248075926,681496205051.7173,18273786215.699863
